data,valor
2015-12-28,1416.33
2015-12-29,1415.61
2015-12-30,1409.01
2016-01-04,1398.21
2016-01-05,1392.15
2016-01-06,1397.18
2016-01-07,1386.64
2016-01-08,1381.83
2016-01-11,1373.44
2016-01-12,1378.06
2016-01-13,1372.94
2016-01-14,1353.16
2016-01-15,1349.14
2016-01-18,1353.12
2016-01-19,1344.25
2016-01-20,1331.81
2016-01-21,1333.76
2016-01-22,1327.60
2016-01-26,1316.60
2016-01-27,1308.99
2016-01-28,1305.98
2016-01-29,1322.95
2016-02-01,1327.12
2016-02-02,1326.03
2016-02-03,1341.57
2016-02-04,1339.95
2016-02-05,1338.05
2016-02-10,1341.18
2016-02-11,1339.87
2016-02-12,1336.44
2016-02-15,1330.33
2016-02-16,1339.68
2016-02-17,1336.74
2016-02-18,1334.81
2016-02-19,1338.68
2016-02-22,1338.72
2016-02-23,1335.42
2016-02-24,1346.21
2016-02-25,1352.25
2016-02-26,1359.87
2016-02-29,1361.05
2016-03-01,1360.01
2016-03-02,1369.50
2016-03-03,1376.88
2016-03-04,1393.33
2016-03-07,1393.90
2016-03-08,1394.64
2016-03-09,1402.64
2016-03-10,1407.13
2016-03-11,1413.50
2016-03-14,1423.51
2016-03-15,1417.68
2016-03-16,1415.62
2016-03-17,1431.68
2016-03-18,1444.10
2016-03-21,1439.14
2016-03-22,1453.73
2016-03-23,1458.85
2016-03-24,1455.17
2016-03-28,1469.48
2016-03-29,1479.89
2016-03-30,1478.63
2016-03-31,1485.75
2016-04-01,1487.44
2016-04-04,1481.32
2016-04-05,1478.41
2016-04-06,1481.24
2016-04-07,1475.73
2016-04-08,1483.00
2016-04-11,1481.12
2016-04-12,1488.87
2016-04-13,1497.05
2016-04-14,1499.63
2016-04-15,1512.77
2016-04-18,1515.81
2016-04-19,1515.29
2016-04-20,1520.81
2016-04-22,1522.98
2016-04-25,1526.99
2016-04-26,1537.06
2016-04-27,1543.62
2016-04-28,1549.89
2016-04-29,1554.17
2016-05-02,1558.19
2016-05-03,1553.19
2016-05-04,1547.05
2016-05-05,1552.09
2016-05-06,1558.94
2016-05-09,1551.73
2016-05-10,1564.04
2016-05-11,1569.83
2016-05-12,1582.77
2016-05-13,1592.36
2016-05-16,1603.52
2016-05-17,1607.49
2016-05-18,1606.62
2016-05-19,1598.19
2016-05-20,1602.12
2016-05-23,1596.12
2016-05-24,1600.10
2016-05-25,1601.04
2016-05-27,1602.60
2016-05-30,1609.51
2016-05-31,1612.36
2016-06-01,1617.43
2016-06-02,1619.28
2016-06-03,1619.80
2016-06-06,1629.48
2016-06-07,1620.82
2016-06-08,1634.71
2016-06-09,1636.76
2016-06-10,1642.74
2016-06-13,1639.21
